Species,Total,Positive,Percentage,MSW05_Family,MSW05_Genus,8-1_AdultForearmLen_mm,12-1_HabitatBreadth,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,BodyMass-Value,BodyMass-SpecLevel
Saccopteryx leptura,1,0,0.0,Emballonuridae,Saccopteryx,38.0,1.0,10599499.36,16.5,-20.1,-1.79,-34.79,-93.84,-64.31,0.0,20.97,0.0,0.12,160.77,245.27,1328.5,1572.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,1.0,4.72,1.0
Scotomanes ornatus,4,0,0.0,Vespertilionidae,Scotomanes,56.24,1.0,1811538.78,29.02,19.54,24.28,118.11,86.85,102.48,1.0,191.98,6.0,0.07,139.1,161.41,1051.01,1208.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,21.8,1.0
Scotophilus heathii,8,3,0.375,Vespertilionidae,Scotophilus,61.5,1.0,5702540.76,35.57,6.05,20.81,112.07,66.15,89.11,0.0,253.43,9.0,0.09,112.43,222.49,846.85,1407.11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,36.13,1.0
Scotophilus kuhlii,189,51,0.2698412698412698,Vespertilionidae,Scotophilus,51.4,1.0,5078174.595,12.594999999999999,-23.285,-7.835,51.41,-12.07,17.11,0.0,38.519999999999996,1.0,0.12,110.58500000000001,234.55,1062.18,1546.63,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,20.73,1.0
Scotophilus leucogaster,5,0,0.0,Vespertilionidae,Scotophilus,51.0,1.0,19600115.28,18.58,-34.83,-8.12,51.41,-17.53,16.93,0.0,32.3,1.0,0.12,82.81,235.59,849.51,1523.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,20.23,1.0
Scotorepens balstoni,2,0,0.0,Vespertilionidae,Scotorepens,35.49,1.0,4828168.66,-17.37,-38.43,-27.9,149.87,113.14,131.51,0.0,0.66,0.0,0.00331,26.39,206.5,345.67,1279.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,11.92,1.0
Sturnira lilium,66,3,0.045454545454545456,Phyllostomidae,Sturnira,40.5,1.0,15518876.5,29.98,-34.94,-2.47,-34.79,-110.64,-72.71,0.0,28.95,0.0,0.11,142.56,232.46,1248.36,1501.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,19.1,1.0
Sturnira ludovici,24,0,0.0,Phyllostomidae,Sturnira,43.5,1.0,2756672.83,24.62,-4.34,10.13,-57.04,-106.62,-81.83,0.0,60.71,1.0,0.12,132.38,230.47,1271.5,1616.46,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,21.02,1.0
Sturnira magna,3,0,0.0,Phyllostomidae,Sturnira,57.5,1.0,1663098.75,1.82,-18.79,-8.48,-65.01,-79.74,-72.37,0.0,19.15,0.0,0.11,159.27,192.95,1176.97,1421.23,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,21.66,2.0
Tadarida aegyptiaca,7,0,0.0,Molossidae,Tadarida,49.99,1.0,12943262.93,37.09,-34.83,1.12,88.34,-8.11,40.11,0.0,81.44,0.0,0.11,54.06,223.3,606.46,1446.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,16.78,1.0
Tadarida australis,11,1,0.09090909090909093,Molossidae,Tadarida,45.11,1.0,5602874.26,-19.11,-39.13,-29.12,153.63,113.14,133.39,0.0,3.78,0.0,0.03,29.51,196.9,362.06,1240.56,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,31.8,1.0
Tadarida brasiliensis,12,3,0.25,Molossidae,Tadarida,42.26,1.0,13978029.11,44.2,-41.72,1.23,-37.67,-124.55,-81.11,0.0,45.59,0.0,0.08,81.68,169.87,834.71,1242.13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,12.49,1.0
Tadarida teniotis,11,1,0.09090909090909093,Molossidae,Tadarida,59.99,1.0,4732754.69,48.73,22.08,35.4,104.53,-18.16,43.18,0.0,86.8,4.0,0.08,52.12,116.05,450.08,1006.99,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,27.04,1.0
Taphozous longimanus,12,0,0.0,Emballonuridae,Taphozous,58.49,1.0,4343701.3,28.26,-8.96,9.65,123.01,72.61,97.81,1.0,217.19,8.0,0.1,158.24,249.1,1137.84,1570.56,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,1.0,26.92,1.0
Taphozous melanopogon,189,2,0.01058201058201058,Emballonuridae,Taphozous,63.72,1.0,7234034.08,31.28,-10.37,10.45,128.9,68.93,98.92,1.0,222.74,9.0,0.1,153.56,236.93,1098.79,1509.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,1.0,25.94,1.0
Taphozous perforatus,339,3,0.008849557522123894,Emballonuridae,Taphozous,62.0,1.0,9616598.6,31.58,-22.42,4.57,80.5,-17.53,31.48,0.0,63.6,0.0,0.11,78.19,241.93,801.94,1539.56,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,1.0,27.33,1.0
Trachops cirrhosus,16,0,0.0,Phyllostomidae,Trachops,58.45,1.0,12679671.21,18.6,-29.6,-5.5,-34.79,-96.36,-65.57,0.0,27.05,0.0,0.12,154.52,239.27,1306.41,1545.21,50.0,0.0,40.0,0.0,10.0,0.0,0.0,0.0,ABC,G,A,1.0,0.0,37.67,1.0
Tylonycteris pachypus,598,98,0.16387959866220736,Vespertilionidae,Tylonycteris,26.24,1.0,4251795.63,28.55,-8.96,9.79,128.34,74.1,101.22,1.0,154.95,5.0,0.11,184.32,229.24,1277.53,1550.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,3.58,1.0
Tylonycteris robustula,125,1,0.008,Vespertilionidae,Tylonycteris,27.99,1.0,2491915.89,26.43,-10.14,8.14,126.29,92.83,109.56,1.0,146.0,9.0,0.09,183.3,231.27,1283.27,1577.24,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,7.62,1.0
Uroderma bilobatum,37,0,0.0,Phyllostomidae,Uroderma,42.03,1.0,12877448.68,19.15,-25.48,-3.16,-34.79,-95.39,-65.09,0.0,27.68,0.0,0.12,152.59,237.52,1293.07,1542.99,10.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,16.69,1.0
Vampyressa bidens,1,0,0.0,Phyllostomidae,Vampyressa,35.57,1.0,6977521.45,9.53,-17.12,-3.79,-46.74,-79.62,-63.18,0.0,8.47,0.0,0.13,173.85,239.75,1412.81,1576.53,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,11.6,1.0
Vampyressa pusilla,1,0,0.0,Phyllostomidae,Vampyressa,30.5,1.0,667242.7,8.295,-5.385,0.51,-52.864999999999995,-78.03,-63.614999999999995,0.0,5.215,0.0,0.10500000000000001,202.04,253.79500000000002,1466.885,1612.7150000000001,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,8.63,1.0
Vampyressa thyone,1,0,0.0,Phyllostomidae,Vampyressa,31.5,1.0,667242.7,8.295,-5.385,0.51,-52.864999999999995,-78.03,-63.614999999999995,0.0,5.215,0.0,0.10500000000000001,202.04,253.79500000000002,1466.885,1612.7150000000001,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,D1,Ar,A,1.0,0.0,7.17,1.0
Vampyrodes caraccioli,9,0,0.0,Phyllostomidae,Vampyrodes,52.05,1.0,8377468.83,18.42,-17.84,0.28,-46.7,-96.92,-71.81,0.0,15.57,0.0,0.13,172.08,241.37,1403.61,1586.43,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,34.7,1.0
Vespadelus baverstocki,1,0,0.0,Vespertilionidae,Vespadelus,30.08,1.0,1863120.68,-23.39,-35.1,-29.24,147.1,121.11,134.11,0.0,0.1,0.0,0.01,19.28,197.5,253.46,1232.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,4.8,1.0
Vespadelus regulus,150,9,0.06,Vespertilionidae,Vespadelus,30.09,1.0,1078384.63,-27.16,-43.64,-35.4,153.63,114.97,134.3,0.0,16.5,0.0,0.04,47.48,151.07,474.32,1049.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,5.05,1.0
Vespertilio murinus,8,0,0.0,Vespertilionidae,Vespertilio,44.84,1.0,11582955.4,61.2,34.29,47.75,137.64,4.94,71.29,0.0,45.97,1.0,0.02,34.99,40.46,367.71,588.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,18.7,1.0
Vespertilio sinensis,276,44,0.15942028985507245,Vespertilionidae,Vespertilio,48.5,1.0,738710.66,49.95,21.9,35.92,142.07,108.26,125.16,1.0,309.79,1.0,0.02,74.05,72.35,660.06,752.01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,24.3,1.0
