,Species,Total,Positive,Percentage,MSW05_Genus,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Certainty,BodyMass-Value,BodyMass-SpecLevel
89,Megaerops niphanae,130,1,0.007692307692307694,Megaerops,-999.0,32.59,57.17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;212;1658;2151;2655,-999.0,-999.0,-999.0,-999.0,171269.5,27.98,12.16,20.07,109.16,88.38,98.77,4.0,115.69,9.0,0.08,137.76,226.22,1157.82,1582.6,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,D2,Ar,A,1.0,0.0,0.0,ABC,32.6,1.0
90,Mesophylla macconnelli,1,0,0.0,Mesophylla,-999.0,6.86,31.62,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,4.4,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,196;889;890;1007;1297;1658;1699;1700;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,8790472.74,12.59,-19.21,-3.31,-46.06,-84.05,-65.06,0.0,14.9,0.0,0.14,169.03,243.05,1386.57,1572.94,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,6.92,1.0
91,Micronycteris hirsuta,3,0,0.0,Micronycteris,-999.0,12.89,43.3,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;889;1297;1658;2151;2622;2655;2751,-999.0,-999.0,-999.0,-999.0,4915005.84,14.24,-12.97,0.63,-55.21,-87.68,-71.45,0.0,17.16,0.0,0.11,173.72,251.33,1460.05,1618.03,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,D1,S,B,1.0,0.0,0.0,ABC,12.01,1.0
92,Micronycteris microtis,7,0,0.0,Micronycteris,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,2664514.34,23.5,-0.32,11.59,-54.94,-105.08,-80.01,0.0,34.08,0.0,0.13,147.21,238.11,1356.39,1639.85,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,D1,S,B,1.0,0.0,0.0,ABC,6.5,1.0
93,Micronycteris minuta,2,0,0.0,Micronycteris,-999.0,6.9,34.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,1.8,16.26,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,196;889;1089;1297;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,12260456.67,14.37,-29.39,-7.5,-34.79,-86.27,-60.53,0.0,24.91,0.0,0.11,154.41,237.7,1303.31,1539.04,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,D1,S,B,1.0,0.0,0.0,ABC,6.5,1.0
94,Micronycteris schmidtorum,5,0,0.0,Micronycteris,-999.0,7.73,35.49,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,196;889;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,6440621.09,15.94,-25.48,-4.76,-34.79,-89.36,-62.08,0.0,33.65,0.0,0.1,161.29,245.72,1359.49,1589.64,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,D1,S,B,1.0,0.0,0.0,ABC,7.53,1.0
95,Micropteropus pusillus,6,0,0.0,Micropteropus,-999.0,25.38,51.98,76.38,-999.0,349.79,-999.0,-999.0,1.0,-999.0,161.77,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,202.08,1.5,-999.0,2.0,1.0,55.18,20.0,-999.0,185;196;258;266;360;428;1297;1386;1510;1658;1938;2017;2143;2151;2655;2719;2836;3023,-999.0,-999.0,-999.0,-999.0,7997702.34,13.97,-12.82,0.57,38.73,-16.82,10.95,0.0,40.52,1.0,0.12,124.59,245.19,1153.38,1557.21,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,26.57,1.0
96,Mimon cozumelae,1,0,0.0,Mimon,-999.0,-999.0,65.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,108;1297,39.49,-999.0,-999.0,-999.0,812740.52,21.62,3.32,12.47,-72.0,-97.31,-84.65,0.0,57.85,3.0,0.14,170.19,235.51,1381.97,1593.2,60.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,18.61,0.0
97,Mimon crenulatum,11,0,0.0,Mimon,-999.0,13.91,48.84,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;196;889;1297;1658;2143;2151;2295;2622;2655;2719;2751;2752,-999.0,-999.0,-999.0,-999.0,10073417.99,19.67,-14.93,2.36,-34.79,-90.07,-62.43,0.0,19.59,0.0,0.12,163.06,244.41,1336.32,1574.05,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,13.75,1.0
98,Miniopterus africanus,8,1,0.125,Miniopterus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,807098.25,15.78,-21.37,-2.79,41.37,19.25,30.31,0.0,67.41,1.0,0.13,76.22,198.32,888.0,1481.72,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,9.76,0.0
99,Miniopterus inflatus,12,7,0.5833333333333334,Miniopterus,-999.0,14.9,48.09,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,91.24,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,742.46,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;1297;1346;1658;2143;2151;2655;2719;2900,-999.0,-999.0,-999.0,-999.0,2563885.05,9.38,-20.75,-5.68,39.26,9.37,24.32,0.0,48.07,3.0,0.15,84.1,218.37,943.84,1492.35,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,14.2,1.0
100,Miniopterus magnater,217,16,0.07373271889400923,Miniopterus,-999.0,14.14,49.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,781666.55,24.8,-10.37,7.21,147.86,95.77,121.82,1.0,104.32,2.0,0.08,196.74,230.09,1364.06,1621.73,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,14.07,1.0
101,Miniopterus minor,16,1,0.0625,Miniopterus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,347309.18,4.85,-16.1,-5.62,40.16,6.47,23.31,1.0,50.14,1.0,0.12,64.51,242.26,844.83,1534.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.01,1.0
102,Miniopterus natalensis,34,3,0.08823529411764706,Miniopterus,-999.0,10.43,45.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,126.88,-999.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,3.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,58.59,-999.0,-999.0,196;1658;2719;2889;2892;2893;2896;2901,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,10.43,1.0
103,Miniopterus pusillus,586,28,0.04778156996587031,Miniopterus,-999.0,8.95,41.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,147746.63,28.19,-10.37,8.91,130.87,74.83,102.85,5.0,297.74,17.0,0.08,154.37,233.56,1247.21,1605.38,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,8.61,1.0
104,Miniopterus ricketti,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Miniopterus schreibersii,2240,159,0.07098214285714285,Miniopterus,-999.0,11.46,45.99,-999.0,-999.0,723.66,-999.0,-999.0,1.0,-999.0,182.5,1.0,-999.0,-999.0,-999.0,0.99,1.0,168.0,2.86,26.5,-999.0,4040.0,666.44,-999.0,-999.0,2.0,3.0,60.19,12.5,-999.0,107;152;196;276;283;284;286;287;289;489;543;860;863;1031;1147;1257;1297;1384;1388;1439;1621;1658;1668;1704;1705;2143;2151;2295;2436;25832622;2655;2719;2889;2900;3014;3023,-999.0,-999.0,-999.0,-999.0,49430485.11,50.89,-39.13,5.87,162.39,-17.53,72.43,0.0,94.58,0.0,0.1,74.56,198.74,679.41,1335.68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,11.46,1.0
106,Molossus currentium,10,1,0.1,Molossus,-999.0,17.79,41.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1297;1658;2143;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1346846.01,12.46,-4.95,3.75,-60.78,-84.18,-72.48,0.0,61.82,1.0,0.12,140.76,238.26,1338.73,1618.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,17.79,1.0
107,Molossus molossus,265,30,0.11320754716981132,Molossus,-999.0,13.7,38.22,59.82,-999.0,-999.0,20.13,16.5,1.0,-999.0,107.97,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,3.49,37.54,-999.0,-999.0,103.46,-999.0,-999.0,2.0,3.0,60.45,-999.0,-999.0,196;1297;1658;1685;1705;1822;1948;2151;2295;2622;2655;2719;2750;2797;3038,-999.0,-999.0,-999.0,-999.0,16538107.62,28.68,-39.01,-5.16,-34.79,-108.56,-71.68,0.0,32.82,0.0,0.1,137.03,226.13,1211.68,1469.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,13.58,1.0
108,Molossus rufus,92,4,0.043478260869565216,Molossus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,15178757.42,28.66,-31.86,-1.59,-34.79,-108.26,-71.52,0.0,28.52,0.0,0.11,143.15,234.08,1251.73,1504.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,25.0,1.0
109,Mops condylurus,13,0,0.0,Mops,-999.0,26.59,47.22,-999.0,0.0,-999.0,-999.0,-999.0,1.0,-999.0,88.64,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,8.03,-999.0,-999.0,60.0,285.63,-999.0,-999.0,2.0,3.0,49.99,-999.0,-999.0,44;196;1257;1258;1297;1384;1658;1685;1938;2094;2143;2151;2622;2655;2719;2900;2902;3023,-999.0,-999.0,-999.0,-999.0,16249258.42,18.08,-29.64,-5.77,51.41,-17.53,16.93,0.0,34.91,1.0,0.13,92.42,243.6,922.06,1564.21,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,28.37,1.0
110,Mops midas,2,1,0.5,Mops,-999.0,45.5,61.5,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.22,2.0,-999.0,9.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,44;1297;1658;1685;1784;2143;2151;2622;2655;2900,-999.0,-999.0,-999.0,-999.0,5759773.7,18.72,-25.6,-3.44,50.48,-17.53,16.47,0.0,43.7,1.0,0.11,88.42,253.53,878.83,1602.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,45.22,1.0
111,Mormoops megalophylla,17,0,0.0,Mormoops,-999.0,16.09,54.99,66.74,-999.0,-999.0,24.42,16.5,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,1.0,-999.0,0.91,28.78,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;404;889;1297;1325;1658;2143;2151;2295;2422;2655;2719,-999.0,-999.0,-999.0,-999.0,3624939.01,33.12,-7.08,13.01,-59.96,-115.91,-87.94,0.0,51.06,1.0,0.12,85.54,211.38,946.69,1440.48,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,15.81,1.0
112,Murina gracilis,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Murina leucogaster,193,6,0.031088082901554407,Murina,-999.0,7.54,41.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,644305.67,34.59,14.33,24.46,120.1,84.67,102.38,3.0,249.08,7.0,0.06,121.31,122.73,909.96,1043.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.55,1.0
114,Murina puta,19,0,0.0,Murina,-999.0,-999.0,35.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151,6.91,-999.0,-999.0,-999.0,36065.98,25.29,21.9,23.6,122.0,120.04,121.02,70.0,676.6,73.0,0.03,160.5,165.8,-999.0,-999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,6.73,2.0
115,Murina recondita,7,2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Myotis adversus,9,0,0.0,Myotis,-999.0,10.41,39.81,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,2.5,-999.0,-999.0,-999.0,-999.0,-999.0,231.09,-999.0,-999.0,2.0,3.0,56.28,-999.0,-999.0,76;196;864;1297;1521;1658;2143;2151;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,418891.81,25.29,-15.6,4.84,167.21,100.03,133.62,3.0,387.9,4.0,0.11,219.39,239.98,1623.62,1768.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,G,B,1.0,0.0,0.0,ABC,10.55,1.0
117,Myotis albescens,2,0,0.0,Myotis,-999.0,5.69,35.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,93.18,1.0,-999.0,-999.0,-999.0,0.98,2.5,-999.0,-999.0,-999.0,-999.0,-999.0,152.76,-999.0,-999.0,2.0,-999.0,30.2,-999.0,-999.0,196;890;1297;1658;2100;2143;2151;2622;2655;3023,-999.0,-999.0,-999.0,-999.0,14769379.45,18.66,-37.84,-9.59,-34.79,-94.81,-64.8,0.0,25.67,0.0,0.11,145.37,232.23,1260.9,1493.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,5.3,1.0
118,Myotis alcathoe,5,0,0.0,Myotis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D1,A,A,1.0,0.0,0.0,ABC,7.74,0.0
119,Myotis altarium,78,0,0.0,Myotis,-999.0,11.0,45.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;1658;2151;2655,-999.0,-999.0,-999.0,-999.0,1128465.11,31.88,18.98,25.43,118.41,99.19,108.8,9.0,260.25,46.0,0.06,111.91,155.23,994.01,1071.24,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,11.0,1.0
120,Myotis bechsteinii,65,1,0.015384615384615384,Myotis,-999.0,9.47,41.99,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,252.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;543;577;1297;1658;2143;2151;2295;2655;2711;2719;2955,-999.0,-999.0,-999.0,-999.0,2326533.53,53.88,36.65,45.26,44.73,-9.29,17.72,3.0,139.49,18.0,0.01,61.16,85.35,515.69,603.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,S,A,1.0,0.0,0.0,ABC,9.47,1.0
121,Myotis blythii,239,27,0.11297071129707112,Myotis,-999.0,23.82,58.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,237.99,-999.0,-999.0,-999.0,-999.0,420.91,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,109;1297;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,3247785.97,53.33,23.76,38.55,120.21,31.51,75.86,0.0,112.68,2.0,0.1,39.35,116.67,416.49,1003.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,22.47,1.0
122,Myotis brandtii,35,2,0.057142857142857134,Myotis,-999.0,5.3,34.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,10341787.32,66.02,36.01,51.02,143.94,-9.49,67.22,0.0,74.22,1.0,0.01,45.44,42.96,412.53,528.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,0.0,ABC,5.3,1.0
123,Myotis capaccinii,70,7,0.1,Myotis,-999.0,8.15,40.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,54.99,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,377.57,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,1015;1297;1658;2143;2151;2622;2655;2920,-999.0,-999.0,-999.0,-999.0,1758634.4,47.44,27.03,37.23,62.29,-6.26,28.01,0.0,114.17,7.0,0.05,47.13,125.18,431.11,972.93,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.44,1.0
124,Myotis chinensis,167,0,0.0,Myotis,-999.0,41.99,65.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622,-999.0,-999.0,-999.0,-999.0,1209407.95,28.57,17.35,22.96,119.95,97.61,108.78,1.0,241.48,46.0,0.06,118.99,156.31,1046.22,1163.47,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,42.0,1.0
125,Myotis ciliolabrum,1,0,0.0,Myotis,-999.0,4.89,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2622,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D1,A,A,1.0,0.0,0.0,ABC,4.89,1.0
126,Myotis dasycneme,172,38,0.22093023255813954,Myotis,-999.0,15.16,45.5,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,234.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;543;1658;2143;2151;2295;2470;2655;2719,-999.0,-999.0,-999.0,-999.0,6606862.4,65.1,44.57,54.84,125.67,4.1,64.89,0.0,56.05,1.0,0.00518,43.12,28.93,387.58,427.69,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,14.13,1.0
127,Myotis daubentonii,859,46,0.053550640279394636,Myotis,-999.0,7.63,36.59,44.4,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,55.14,1.0,-999.0,-999.0,-999.0,1.21,1.0,336.0,2.0,29.19,-999.0,-999.0,371.23,-999.0,-999.0,2.0,3.0,35.33,5.49,-999.0,196;400;543;892;1297;1521;1658;2143;2151;2295;2470;2622;2655;2719;2977;3001,-999.0,-999.0,-999.0,-999.0,14824937.25,63.01,26.73,44.87,145.82,-10.47,67.67,0.0,71.14,0.0,0.00965,46.1,21.71,426.22,515.06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.63,1.0
