,Species,Total,Positive,Percentage,MSW05_Genus,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Certainty,BodyMass-Value,BodyMass-SpecLevel
41,Eptesicus fuscus,651,66,0.10138248847926268,Eptesicus,-999.0,17.49,46.69,-999.0,1.5,-999.0,30.42,16.9,1.0,-999.0,52.14,1.0,-999.0,-999.0,-999.0,1.85,1.0,240.0,3.21,-999.0,-999.0,50.0,395.29,-999.0,-999.0,2.0,3.0,34.18,13.2,-999.0,185;196;459;460;543;544;616;657;746;754;1059;1161;1189;1238;1297;1413;1520;1693;1695;1705;1708;1709;1710;1784;2143;2151;2215;2279;2567;26222655;2719;2879;3047,-999.0,-999.0,-999.0,-999.0,13321726.93,60.21,2.09,31.15,-59.42,-126.58,-93.0,0.0,43.16,0.0,0.06,63.98,115.12,649.12,941.91,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,16.46,1.0
42,Eptesicus hottentotus,2,0,0.0,Eptesicus,-999.0,30.33,49.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,44;1658;2143;2151;2655,-999.0,-999.0,-999.0,-999.0,1719187.67,1.38,-34.83,-16.72,37.25,14.54,25.89,0.0,37.58,0.0,0.13,57.42,189.49,712.23,1328.54,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,30.0,1.0
43,Eptesicus nilssonii,37,2,0.054054054054054064,Eptesicus,-999.0,10.72,40.24,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.5,1.0,186.0,4.52,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,26.0,-999.0,-999.0,1297;1658;1784;2143;2151;2517;2518;2622;2655,-999.0,-999.0,-999.0,-999.0,10151783.96,69.97,37.59,53.78,155.92,4.94,80.43,0.0,33.38,0.0,0.000792,40.55,2.73,366.6,422.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,10.72,1.0
44,Eptesicus serotinus,72,3,0.04166666666666666,Eptesicus,-999.0,23.09,50.3,67.99,8.0,-999.0,-999.0,-999.0,1.0,-999.0,65.44,1.0,-999.0,-999.0,-999.0,1.5,1.0,72.0,5.28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,30.8,14.74,-999.0,185;196;543;696;892;1161;1297;1624;1658;1668;1705;2143;2151;2350;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,8742253.51,57.74,18.14,37.94,122.0,-9.49,56.25,0.0,150.61,1.0,0.04,59.65,99.39,557.37,844.59,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,22.86,1.0
45,Eumops glaucinus,38,1,0.02631578947368421,Eumops,-999.0,36.2,59.73,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.04,1.0,-999.0,4.27,38.79,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,38.49,-999.0,-999.0,196;419;890;1297;1658;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,11841060.24,26.61,-26.32,0.14,-39.68,-105.56,-72.62,0.0,30.41,0.0,0.12,147.97,232.45,1286.03,1517.73,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,35.38,1.0
46,Eumops maurus,1,0,0.0,Eumops,-999.0,-999.0,52.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151,20.66,-999.0,-999.0,-999.0,269127.99,7.83,1.45,4.64,-53.98,-59.55,-56.76,0.0,4.58,0.0,0.04,140.51,258.08,1518.3,1713.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,29.38,2.0
47,Eumops perotis,1,0,0.0,Eumops,-999.0,50.97,75.49,-999.0,0.0,-999.0,39.76,56.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,1.0,-999.0,7.53,52.56,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;654;877;1297;1658;1685;1948;2143;2151;2161;2655;2719,-999.0,-999.0,-999.0,-999.0,16118784.11,37.7,-29.71,3.99,-34.79,-122.41,-78.6,0.0,26.8,0.0,0.11,128.55,218.18,1143.32,1461.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,51.13,1.0
48,Falsistrellus mackenziei,7,0,0.0,Falsistrellus,-999.0,23.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2622,-999.0,-999.0,-999.0,-999.0,40804.15,-31.37,-35.06,-33.21,117.0,114.97,115.98,0.0,30.34,0.0,0.11,64.03,153.5,462.51,1179.61,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D1,A,A,1.0,0.0,0.0,ABC,23.0,1.0
49,Glauconycteris beatrix,1,0,0.0,Glauconycteris,-999.0,7.5,37.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,438945.12,8.88,-2.21,3.33,12.84,-7.07,2.88,1.0,57.15,1.0,0.12,139.41,258.5,1297.94,1577.02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.5,1.0
50,Glauconycteris variegata,1,0,0.0,Glauconycteris,-999.0,11.25,43.54,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,1297;1658;1938;2143;2151;2157;2272;2655,-999.0,-999.0,-999.0,-999.0,9810939.42,14.33,-30.74,-8.2,41.4,-16.94,12.23,0.0,36.23,1.0,0.14,106.66,236.76,1037.93,1531.22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,11.25,1.0
